From Point,To Point,Distance (km),Fare (BDT)
Hemayetpur,Hemayetpur,0,0
Hemayetpur,Gabtoli,7.2,18
Hemayetpur,Shyamoli,9.7,24
Hemayetpur,Asadgate,11.6,28
Hemayetpur,Farmgate,13.6,33
Hemayetpur,Bangla Motor,14.9,37
Hemayetpur,Shahbag,15.7,38
Hemayetpur,Motsyabhaban,16.7,41
Hemayetpur,Press Club,17.3,42
Hemayetpur,Paltan,17.7,43
Hemayetpur,Gulistan,18.4,45
Hemayetpur,Shanir Akhra,23.4,57
Hemayetpur,Saynabord,27,66
Gabtoli,Gabtoli,0,0
Gabtoli,Shyamoli,2.5,10
Gabtoli,Asadgate,4.4,11
Gabtoli,Farmgate,6.4,16
Gabtoli,Bangla Motor,7.7,19
Gabtoli,Shahbag,8.5,21
Gabtoli,Motsyabhaban,9.5,23
Gabtoli,Press Club,10.1,25
Gabtoli,Paltan,10.5,26
Gabtoli,Gulistan,11.2,27
Gabtoli,Shanir Akhra,16.2,40
Gabtoli,Saynabord,19.8,49
Shyamoli,Shyamoli,0,0
Shyamoli,Asadgate,1.9,10
Shyamoli,Farmgate,3.9,10
Shyamoli,Bangla Motor,5.2,10
Shyamoli,Shahbag,6,10
Shyamoli,Motsyabhaban,7,10
Shyamoli,Press Club,7.6,10
Shyamoli,Paltan,8,10
Shyamoli,Gulistan,8.7,10
Shyamoli,Shanir Akhra,13.7,33
Shyamoli,Saynabord,17.3,42
Asadgate,Asadgate,0,0
Asadgate,Farmgate,2,10
Asadgate,Bangla Motor,3.3,10
Asadgate,Shahbag,4.1,10
Asadgate,Motsyabhaban,5.1,12
Asadgate,Press Club,5.7,14
Asadgate,Paltan,6.1,15
Asadgate,Gulistan,6.8,17
Asadgate,Shanir Akhra,11.8,29
Asadgate,Saynabord,15.4,38
Farmgate,Farmgate,0,0
Farmgate,Bangla Motor,1.3,10
Farmgate,Shahbag,2.1,10
Farmgate,Motsyabhaban,3.1,10
Farmgate,Press Club,3.7,10
Farmgate,Paltan,4.1,10
Farmgate,Gulistan,4.8,10
Farmgate,Shanir Akhra,9.8,24
Farmgate,Saynabord,13.4,33
Bangla Motor,Bangla Motor,0,0
Bangla Motor,Shahbag,0.8,10
Bangla Motor,Motsyabhaban,1.8,10
Bangla Motor,Press Club,2.4,10
Bangla Motor,Paltan,2.8,10
Bangla Motor,Gulistan,3.5,10
Bangla Motor,Shanir Akhra,8.5,21
Bangla Motor,Saynabord,12.1,30
Shahbag,Shahbag,0,0
Shahbag,Motsyabhaban,1,10
Shahbag,Press Club,1.6,10
Shahbag,Paltan,2,10
Shahbag,Gulistan,2.7,10
Shahbag,Shanir Akhra,7.7,19
Shahbag,Saynabord,11.3,28
Motsyabhaban,Motsyabhaban,0,0
Motsyabhaban,Press Club,0.6,10
Motsyabhaban,Paltan,1,10
Motsyabhaban,Gulistan,1.7,10
Motsyabhaban,Shanir Akhra,6.7,16
Motsyabhaban,Saynabord,10.3,25
Press Club,Press Club,0,0
Press Club,Paltan,0.4,10
Press Club,Gulistan,1.1,10
Press Club,Shanir Akhra,6.1,15
Press Club,Saynabord,9.7,24
Paltan,Paltan,0,0
Paltan,Gulistan,0.7,10
Paltan,Shanir Akhra,5.7,14
Paltan,Saynabord,9.3,23
Gulistan,Gulistan,0,0
Gulistan,Shanir Akhra,5,12
Gulistan,Saynabord,8.6,21
Shanir Akhra,Shanir Akhra,0,0
Shanir Akhra,Saynabord,3.6,10
Saynabord,Saynabord,0,0
